Shoe,Colorway,Date,Player,Min,Points,Rebounds,Assists,Steals,Blocks
Nike Kobe 6,Nike Kobe 6 EYBL,2025-04-26,Haywood Highsmith,15,3,1,1,2,0
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-26,Lamar Stevens,0,0,0,0,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-26,Alex Caruso,25,6,3,5,2,1
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-26,Jonathan Kuminga,16,7,1,2,0,0
Nike Kobe 6,Nike Kobe 6,2025-04-26,Buddy Hield,29,17,2,2,3,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-26,Jalen Pickett,6,0,0,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Mathieu Grujicic,0,1,0,0,0,0
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-25,Justin Anderson,16,4,2,1,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Joel Parra,25,9,7,0,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Mario Hezonja,27,22,8,2,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Hugo Gonzalez,0,0,0,0,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Facundo Campazzo,23,9,5,3,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Andres Feliz,22,4,2,2,6,0
Nike Kobe 6,Nike Kobe 6 BHM,2025-04-25,Saben Lee,16,6,2,1,1,1
Nike Kobe 6,Nike Kobe 6 Black Mamba Collection Fade to Black,2025-04-25,Jordan Loyd,15,13,3,3,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Jaron Blossomgame,27,2,4,3,2,1
Nike Kobe 6,Nike Kobe 6 Grinch,2025-04-25,Daniel Theis,24,6,2,1,0,0
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-25,Jaxson Hayes,8,2,1,0,0,0
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-25,Jarred Vanderbilt,12,3,5,0,0,1
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Dorian Finney-Smith,28,8,1,2,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Ben Sheppard,15,5,2,0,0,0
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-25,Gary Harris,22,0,2,0,1,1
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-24,Mikael Jantunen,24,9,6,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-24,Perry Dozier Jr,29,14,2,5,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-24,Daniel Oturu,15,11,4,0,2,1
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-24,Yakuba Ouattara,20,5,3,0,0,0
Nike Kobe 6,Nike Kobe 6 Grinch,2025-04-24,Jerian Grant,28,11,4,2,4,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-24,Jalen Pickett,10,0,0,0,0,0
Nike Kobe 6,Nike Kobe 6 Kay Yow Think Pink,2025-04-24,DeAndre Jordan,4,0,1,0,0,0
Nike Kobe 6,Nike Kobe 6 WNBA,2025-04-24,Kobe Brown,3,0,1,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-24,Alex Caruso,23,10,6,3,4,1
Nike Kobe 6,Nike Kobe 6 All-Star,2025-04-24,Paul Reed,15,4,8,0,0,1
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-23,Justin Anderson,25,5,3,0,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Joel Parra,20,5,5,1,0,1
Nike Kobe 6,Nike Kobe 6 Black Mamba Collection Fade to Black,2025-04-23,Jordan Loyd,19,1,1,2,0,0
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-23,Mario Hezonja,26,13,5,1,2,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Facundo Campazzo,24,7,2,5,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Andres Feliz,17,8,1,3,4,0
Nike Kobe 6,Nike Kobe 6 BHM,2025-04-23,Saben Lee,6,2,0,1,2,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Jaron Blossomgame,21,3,3,0,0,0
Nike Kobe 6,Nike Kobe 6 Grinch,2025-04-23,Daniel Theis,22,22,5,1,0,2
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Kevin Knox II,3,2,1,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Jonathan Kuminga,26,11,3,2,0,1
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-23,Gui Santos,10,3,1,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Gary Payton II,12,0,1,1,1,0
Nike Kobe 6,Nike Kobe 6 White Del Sol,2025-04-23,Buddy Hield,15,5,4,1,0,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-23,Tari Eason,24,14,6,1,0,0
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-23,Reed Sheppard,2,0,0,0,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Dillon Brooks,24,16,3,1,0,1
Nike Kobe 6,Nike Kobe 6 BHM,2025-04-23,Haywood Highsmith,26,17,2,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Sam Merrill,19,6,4,1,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-23,Anthony Black,22,11,4,0,0,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-23,Gary Harris,13,4,0,2,2,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-22,Kendrick Nunn,31,15,1,5,0,0
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-22,Jarred Vanderbilt,7,0,1,0,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-22,Dorian Finney-Smith,38,7,5,1,0,1
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-22,Naz Reid,20,9,2,1,3,0
Nike Kobe 6,Nike Kobe 6 DeMar DeRozan PE,2025-04-21,Jalen Brunson,43,37,3,7,2,0
Nike Kobe 6,Nike Kobe 6 All-Star,2025-04-21,Paul Reed,11,6,1,0,1,1
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-21,Jalen Pickett,7,2,0,1,0,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-21,Christian Braun,34,5,6,2,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-20,Lamar Stevens,12,4,4,1,0,0
Nike Kobe 6,Nike Kobe 6 EYBL,2025-04-20,Haywood Highsmith,30,7,6,2,0,1
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-20,Sam Merrill,24,6,1,4,0,2
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-20,Javonte Green,1,0,1,0,0,0
Nike Kobe 6,Nike Kobe 6 Grinch,2025-04-20,Dillon Brooks,33,11,3,2,1,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-20,Tari Eason,20,6,4,0,2,1
Nike Kobe 6,Nike Kobe 6 White Del Sol,2025-04-20,Buddy Hield,15,2,1,0,1,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-20,Gui Santos,6,5,1,0,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-20,Tristan da Silva,1,0,1,0,0,0
Nike Kobe 6,Nike Kobe 6 WNBA,2025-04-20,Kyle Anderson,6,0,1,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-19,Bobby Portis,25,4,8,0,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-19,Jalen Pickett,4,2,2,0,0,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-19,Christian Braun,45,11,3,1,2,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-19,Josh Hart,29,13,7,6,0,1
Nike Kobe 6,Nike Kobe 6 Grinch,2025-04-19,Jalen Brunson,40,34,2,8,0,0
Nike Kobe 6,Nike Kobe 6,2025-04-19,Ronald Holland II,6,0,2,0,0,0
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-19,Jarred Vanderbilt,13,2,4,2,1,0
Nike Kobe 6,Nike Kobe 6 WNBA,2025-04-19,Dorian Finney-Smith,32,3,3,2,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-19,Luka Garza,2,2,1,0,0,0
Nike Kobe 6,Nike Kobe 6 Protro Dodgers,2025-04-19,Peyton Watson,14,6,2,0,1,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-18,Hugo Gonzalez,3,3,0,0,0,0
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-18,Mario Hezonja,25,19,7,1,0,0
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-18,Facundo Campazzo,20,12,4,5,1,0
