Shoe,Colorway,Date,Player,Min,Points,Rebounds,Assists,Steals,Blocks,Season,Signature_Star,Brand
Nike Kobe 6,Nike Kobe 6 EYBL,2025-04-26,Haywood Highsmith,15.0,3.0,1.0,1.0,2.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Italian Camo,2025-04-26,Lamar Stevens,0.0,0.0,0.0,0.0,0.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-26,Alex Caruso,25.0,6.0,3.0,5.0,2.0,1.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-26,Jonathan Kuminga,16.0,7.0,1.0,2.0,0.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6,2025-04-26,Buddy Hield,29.0,17.0,2.0,2.0,3.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-26,Jalen Pickett,6.0,0.0,0.0,1.0,0.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Mathieu Grujicic,0.0,1.0,0.0,0.0,0.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Reverse Grinch,2025-04-25,Justin Anderson,16.0,4.0,2.0,1.0,1.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Joel Parra,25.0,9.0,7.0,0.0,1.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Mario Hezonja,27.0,22.0,8.0,2.0,0.0,0.0,P24-25,Kobe Bryant,Nike
Nike Kobe 6,Nike Kobe 6 Sail All-Star,2025-04-25,Hugo Gonzalez,0.0,0.0,0.0,0.0,0.0,0.0,P24-25,Kobe Bryant,Nike
