Shoe,Colorway,Date,Player,Min,Points,Rebounds,Assists,Steals,Blocks
Nike Book 1,Nike Book 1,2025-04-27,Franz Wagner,39,24,6,7,0,0
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-27,Cory Joseph,27,12,3,6,1,0
Nike Book 1,Nike Book 1,2025-04-27,Mikal Bridges,43,8,6,1,3,1
Nike Book 1,Nike Book 1 Moss Point,2025-04-27,Miles McBride,18,5,1,0,0,0
Nike Book 1,Nike Book 1 Black Label,2025-04-27,Mitchell Robinson,9,0,3,0,0,0
Nike Book 1,Nike Book 1 Sunrise,2025-04-26,Jaylon Tyson,5,7,2,2,1,0
Nike Book 1,Nike Book 1 Halloween,2025-04-26,Ty Jerome,21,13,3,11,2,0
Nike Book 1,Nike Book 1 Black Label,2025-04-26,Vince Williams Jr.,18,11,4,3,1,0
Nike Book 1,Nike Book 1 Haven,2025-04-25,Elie Okobo,27,11,2,8,0,0
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-25,Youssoupha Fall,8,0,1,0,0,0
Nike Book 1,Nike Book 1 Black Label,2025-04-25,Alex Len,0,0,0,0,0,0
Nike Book 1,Nike Book 1,2025-04-25,Franz Wagner,37,32,7,8,2,0
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-25,Cory Joseph,27,6,3,1,0,0
Nike Book 1,Nike Book 1 Black Label,2025-04-25,Anthony Black,13,9,2,0,2,0
Nike Book 1,Nike Book 1 Sunrise,2025-04-24,Nadir Hifi,19,15,2,1,1,0
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-24,Ercan Osmani,15,2,2,1,0,0
Nike Book 1,Nike Book 1 Halloween,2025-04-24,Derek Willis,14,2,1,0,0,0
Nike Book 1,Nike Book 1 Python,2025-04-24,Cedi Osman,24,16,1,0,0,1
Nike Book 1,Nike Book 1 Sedona,2025-04-24,Cam Christie,3,0,1,0,0,0
Nike Book 1,Nike Book 1,2025-04-24,Mikal Bridges,38,20,7,3,3,2
Nike Book 1,Nike Book 1 Moss Point,2025-04-24,Miles McBride,9,3,1,0,0,0
Nike Book 1,Nike Book 1 Sedona,2025-04-24,Mitchell Robinson,15,2,4,0,2,0
Nike Book 1,Nike Book 1 Sedona,2025-04-23,Dario Brizuela,21,13,1,2,0,0
Nike Book 1,Nike Book 1 Haven,2025-04-23,Elie Okobo,29,19,2,7,2,0
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-23,Youssoupha Fall,18,13,14,0,1,0
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-23,Ty Jerome,23,6,3,0,1,0
Nike Book 1,Nike Book 1 The Nightmare Before Christmas,2025-04-23,Cory Joseph,22,7,1,3,2,1
Nike Book 1,Nike Book 1,2025-04-23,Franz Wagner,40,25,4,4,2,0
Nike Book 1,Nike Book 1 Halloween,2025-04-22,Derek Willis,21,11,3,2,0,0
Nike Book 1,Nike Book 1 Sunset,2025-04-22,Nadir Hifi,22,21,1,0,0,0
Nike Book 1,Nike Book 1,2025-04-22,Mikael Jantunen,28,3,5,2,1,0
Nike Book 1,Nike Book 1 Sedona,2025-04-22,TJ Shorts,28,17,2,7,1,0
Nike Book 1,Nike Book 1 Python,2025-04-22,Cedi Osman,21,11,4,1,1,0
Nike Book 1,Nike Book 1 Black Label,2025-04-21,Mitchell Robinson,20,0,7,1,0,0
Nike Book 1,Nike Book 1 Moss Point,2025-04-21,Miles McBride,13,8,1,0,0,0
Nike Book 1,Nike Book 1,2025-04-21,Mikal Bridges,38,19,5,0,3,0
Nike Book 1,Nike Book 1,2025-04-20,Franz Wagner,36,23,3,5,1,2
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-20,Cory Joseph,26,0,0,2,0,0
Nike Book 1,Nike Book 1 Black Label,2025-04-20,Anthony Black,13,3,4,0,0,1
Nike Book 1,Nike Book 1 Rattlesnake,2025-04-20,Ty Jerome,26,28,5,3,0,0
Nike Book 1,Nike Book 1 Flagstaff,2025-04-20,Jaylon Tyson,1,0,1,0,0,0
Nike Book 1,Nike Book 1 Forrest Gump Cortez,2025-04-20,Chuma Okeke,1,0,0,0,0,0
Nike Book 1,Nike Book 1 Black Label,2025-04-19,Mitchell Robinson,17,6,6,0,1,2
Nike Book 1,Nike Book 1 Moss Point,2025-04-19,Miles McBride,15,0,1,4,1,0
Nike Book 1,Nike Book 1,2025-04-19,Mikal Bridges,28,8,2,2,0,2
Nike Book 1,Nike Book 1 Black Label,2025-04-19,Alex Len,3,0,4,0,0,0
Nike Book 1,Nike Book 1 Hike,2025-04-18,Mouhamed Gueye,14,3,2,1,0,1
Nike Book 1,Nike Book 1 Forrest Gump Cortez,2025-04-15,Isaiah Canaan,24,6,3,2,1,0
