Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
Boston Celtics,JD Davison,Nike,Kobe 6 White Del Sol,"{('Nike', 'Kobe 6 White Del Sol'), ('Nike', 'Book 1'), ('Jordan', 'Air  11 Retro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kyrie 4'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Book 1 Rattlesnake'), ('Nike', 'KD 3'), ('Nike', 'KD 6'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6')}"
Milwaukee Bucks,Giannis Antetokounmpo,Nike,Freak 6,"{('Nike', 'Giannis Immortality 3'), ('Nike', 'Freak 5'), ('Nike', 'Kobe AD Exodus'), ('Nike', 'Freak 6 Christmas'), ('Nike', 'Freak 6'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Zoom Freak 2'), ('Nike', 'Kobe 11'), ('Nike', 'Kobe X Elite'), ('Nike', 'Kobe A.D. PE'), ('Nike', 'Zoom Freak 4'), ('Jordan', 'Super.Fly 4'), ('Nike', 'Kyrie 1'), ('Nike', 'Kobe X'), ('Jordan', 'Air  10 Retro'), ('Nike', 'Zoom Freak 3'), ('Nike', 'Freak 6 EP')}"
Boston Celtics,Luke Kornet,Nike,Air Zoom G.T. Jump 2,"{('Nike', 'Air Zoom GT Jump'), ('Nike', 'LeBron 17'), ('Nike', 'G.T. Jump 2'), ('Nike', 'Hyperdunk X')}"
Phoenix Suns,Kevin Durant,Nike,KD 17,"{('Nike', 'KD 8 ""Creamsicle""'), ('Nike', 'KD7 PE'), ('Nike', 'KD 17 Slim Reaper'), ('Nike', 'KD 9'), ('Nike', 'KD 16'), ('Nike', 'KD 9 Elite'), ('Nike', 'KD 17'), ('Nike', 'KD 8 ""N7""'), ('Nike', 'KD 8'), ('Nike', 'KD 9 ""BHM""'), ('Nike', 'KD 8 ""Opening Night""'), ('Nike', 'KD 10'), ('Nike', 'KD 15'), ('Nike', 'KD 17 Easy Money All-Star')}"
Boston Celtics,Anton Watson,,,set()
Boston Celtics,Baylor Scheierman,Puma,All-Pro Nitro,"{('Puma', 'All-Pro Nitro'), ('Puma', 'All-Pro Nitro Mexico')}"
Boston Celtics,Jrue Holiday,Nike,Air Zoom G.T. Cut 3 Turbo,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Jordan', 'Air  11 Retro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kyrie 5'), ('Nike', 'Kobe AD Exodus'), ('Nike', 'KD 14'), ('Nike', 'Kobe 5'), ('Nike', 'Air Zoom G.T. Cut 3 Turbo'), ('Nike', 'PG 1'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe X'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kobe X Elite Low ""Mambacurial""'), ('Nike', 'Sabrina 2'), ('Nike', 'Kobe AD Mid')}"
Boston Celtics,Neemias Queta,Adidas,D.O.N. Issue 4,"{('Adidas', 'Trae Young 3'), ('Adidas', 'BYW Select'), ('Adidas', 'DON Issue #3'), ('Adidas', 'AE1'), ('Adidas', 'D.O.N Issue 6 Triple White'), ('Adidas', 'Crazy 8'), ('Adidas', 'D.O.N. Issue 6'), ('Adidas', 'Dame 8'), ('Adidas', 'D.O.N. Issue 4'), ('Adidas', 'Harden Vol. 5'), ('Adidas', 'Trae Unlimited'), ('Adidas', 'Dame 7 EXTPLY'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'Dame Certified')}"
Boston Celtics,Derrick White,Nike,Sabrina 2 SLAM,"{('Nike', 'Book 1'), ('Nike', 'Kobe AD Exodus'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2 Mirrored'), ('Nike', 'Sabrina 2 Trust the Game'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 2'), ('Nike', 'Kyrie Low 2')}"
Boston Celtics,Kristaps PorziÅ†Ä£is,Adidas,BYW Select,"{('Adidas', 'Next Level'), ('Adidas', 'Crazy Explosive 2017'), ('Adidas', 'BYW Select'), ('Adidas', 'D.O.N. Issue 6'), ('Adidas', 'Dame 8 EXTPLY'), ('Adidas', 'Exhibit A Mid'), ('Adidas', 'Exhibit A'), ('Adidas', 'Dame 8'), ('Adidas', 'Crazy Explosive Low 2017'), ('Adidas', 'Pro Boost'), ('Nike', 'Kobe X Elite'), ('Adidas', 'Crazy Explosive'), ('Adidas', 'Pro Bounce 2019'), ('Nike', 'Kobe 9 Elite')}"
